datetimestamp,underlyingSymbol,underlyingPrice,underlyingVol,putCall,strikePrice,expirationType,inTheMoney,lastTradingDay,expirationDate,daysToExpiration,openInterest,theoreticalVolatility,volatility,theoreticalOptionValue,closePrice,last,mark,bid,ask
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,330.0,R,True,2020-07-18 00:00:00,2020-07-17 20:00:00,20,7963,29.0,40.713,28.25,28.19,28.49,28.25,27.9,28.6
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,332.5,R,True,2020-07-18 00:00:00,2020-07-17 20:00:00,20,19,29.0,39.978,26.225,26.29,28.05,26.23,25.9,26.55
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,335.0,R,True,2020-07-18 00:00:00,2020-07-17 20:00:00,20,7012,29.0,40.951,24.725,24.39,24.4,24.73,24.0,25.45
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,337.5,R,True,2020-07-18 00:00:00,2020-07-17 20:00:00,20,13,29.0,38.799,22.4,22.5,23.25,22.4,22.05,22.75
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,340.0,R,True,2020-07-18 00:00:00,2020-07-17 20:00:00,20,11629,29.0,38.304,20.6,20.64,20.68,20.6,18.6,22.6
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,342.5,R,True,2020-07-18 00:00:00,2020-07-17 20:00:00,20,83,29.0,38.805,19.175,18.88,18.9,19.17,17.45,20.9
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,345.0,R,True,2020-07-18 00:00:00,2020-07-17 20:00:00,20,5505,29.0,37.413,17.225,17.13,17.25,17.23,16.95,17.5
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,347.5,R,True,2020-07-18 00:00:00,2020-07-17 20:00:00,20,104,29.0,36.305,15.425,15.37,16.51,15.43,14.9,15.95
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,350.0,R,True,2020-07-18 00:00:00,2020-07-17 20:00:00,20,9957,29.0,35.895,13.925,14.09,14.0,13.93,13.4,14.45
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,352.5,R,True,2020-07-18 00:00:00,2020-07-17 20:00:00,20,288,29.0,36.214,12.75,12.81,12.8,12.75,12.5,13.0
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,355.0,R,False,2020-07-18 00:00:00,2020-07-17 20:00:00,20,12931,29.0,36.14,11.525,11.53,11.55,11.53,11.0,12.05
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,357.5,R,False,2020-07-18 00:00:00,2020-07-17 20:00:00,20,372,29.0,35.455,10.175,10.25,10.1,10.18,9.9,10.45
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,360.0,R,False,2020-07-18 00:00:00,2020-07-17 20:00:00,20,9131,29.0,36.019,9.325,9.15,8.97,9.32,8.75,9.9
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,362.5,R,False,2020-07-18 00:00:00,2020-07-17 20:00:00,20,852,29.0,34.911,8.0,8.06,7.88,8.0,7.7,8.3
2020-06-27 16:25:49.981917,AAPL,353.7,29.0,CALL,365.0,R,False,2020-07-18 00:00:00,2020-07-17 20:00:00,20,7551,29.0,34.529,7.0,7.02,6.99,7.0,6.7,7.3
